Method  Separability  Neighborhood hit  Spread  (± for uncertainty (std dev)) 
2d_ae_64_relu_reg_norm  0.9841±0.003  0.977±0.004  0.189±0.02
2d_ae_cropped_128_relu_reg_norm  0.9824±0.005  0.9657±0.01  0.2212±0.026
2d_ae_cropped_256_relu_reg_norm  0.9816±0.004  0.9616±0.007  0.2165±0.046
2d_beta10_vae_cropped_128_relu_norm  0.9427±0.016  0.9096±0.022  0.1351±0.005
2d_beta10_vae_cropped_256_relu_norm  0.8651±0.021  0.8074±0.024  0.1343±0.018
2d_beta20_vae_cropped_128_relu_norm  0.8086±0.043  0.7326±0.053  0.1296±0.018
2d_beta20_vae_cropped_256_relu_norm  0.6349±0.043  0.5349±0.043  0.158±0.017
2d_beta20_vae_cropped_64_relu_norm  0.8847±0.009  0.8313±0.01  0.1361±0.004
2d_beta2_vae_cropped_128_relu_norm  0.9921±0.001  0.9935±0.001  0.14±0.009
2d_beta2_vae_cropped_256_relu_norm  0.9923±0.001  0.9924±0.002  0.1329±0.011
2d_beta2_vae_cropped_64_relu_norm  0.9928±0.001  0.9945±0.0  0.1501±0.007
2d_beta6_vae_cropped_128_relu_norm  0.983±0.003  0.9754±0.003  0.1354±0.027
2d_beta6_vae_cropped_256_relu_norm  0.9624±0.007  0.9412±0.011  0.1406±0.012
2d_beta8_vae_cropped_128_relu_norm  0.9588±0.011  0.9351±0.018  0.1223±0.014
2d_beta8_vae_cropped_256_relu_norm  0.9188±0.013  0.8812±0.018  0.1228±0.005
2d_beta8_vae_cropped_64_relu_norm  0.9815±0.003  0.9703±0.005  0.1673±0.013
2d_beta_vae_cropped_128_relu_norm  0.9896±0.002  0.9876±0.004  0.1454±0.02
2d_beta_vae_cropped_256_relu_norm  0.985±0.004  0.9787±0.007  0.1265±0.013
2d_vae_cropped_128_relu_norm  0.994±0.002  0.9949±0.0  0.1876±0.009
2d_vae_cropped_256_relu_norm  0.9938±0.002  0.9947±0.001  0.1694±0.015
baseline_norm  0.9861±0.005  0.9741±0.007  0.2501±0.002
